,chl_a,chl_a,site,sample_date,443,493,560,665,703,740,780,834,864,SA,Max.depth,pct_dev,pct_ag
0,9.6,9.6,73.0,0.0,0.009602032,0.010648148,0.011709648,0.008074171,-99999.0,-99999.0,-99999.0,-99999.0,0.014097827,121.0,75.0,4.54,35.23
1,17.2,17.2,256.0,2.0,0.0060407156,0.007651776,0.011028886,0.00820869,-99999.0,-99999.0,-99999.0,-99999.0,0.008109984,134.0,114.8,17.55,9.58
2,6.4,6.4,11.0,1.0,0.004493763,0.006192842,0.009915276,0.0055483314,-99999.0,-99999.0,-99999.0,-99999.0,0.0112404,45.0,38.0,5.86,0.0
3,0.5,0.5,275.0,0.0,0.003189645,0.005633829,0.007488005,0.0045855786,-99999.0,-99999.0,-99999.0,-99999.0,0.010210747,141.0,40.0,9.82,4.22
4,0.3,0.3,177.0,1.0,0.0035968642,0.0057092295,0.0076486226,0.004496955,-99999.0,-99999.0,-99999.0,-99999.0,0.012083451,28170.0,196.0,6.41,0.98
5,1.3,1.3,97.0,1.0,0.0041972585,0.0052729743,0.005811977,0.0036772718,-99999.0,-99999.0,-99999.0,-99999.0,0.009447854,96.0,48.0,0.85,0.0
6,1.1,1.1,204.0,1.0,0.004442083,0.0060204947,0.0079650935,0.0050364714,-99999.0,-99999.0,-99999.0,-99999.0,0.010544329,26.0,31.8,69.19,0.0
7,2.5,2.5,145.0,3.0,0.0036942838,0.0051083528,0.006077172,0.0037692033,-99999.0,-99999.0,-99999.0,-99999.0,0.010055398,134.0,26.2,0.84,0.0
8,1.3,1.3,15.0,3.0,0.0036628076,0.0047595035,0.005584418,0.0034561458,-99999.0,-99999.0,-99999.0,-99999.0,0.006423013,70.0,39.0,25.46,1.41
9,10.6,10.6,21.0,0.0,0.0032861193,0.004706092,0.006313165,0.004316418,-99999.0,-99999.0,-99999.0,-99999.0,0.006969626,26.0,18.0,8.57,5.67
10,0.5,0.5,275.0,0.0,0.0034949433,0.0056751953,0.0074547934,0.0041875313,-99999.0,-99999.0,-99999.0,-99999.0,0.009742601,141.0,40.0,9.82,4.22
11,1.5,1.5,167.0,0.0,0.0040775114,0.0053906604,0.0063524307,0.002723611,-99999.0,-99999.0,-99999.0,-99999.0,0.006700513,38.0,45.3,1.18,0.0
12,7.1,7.1,44.0,4.0,0.002061236,0.003925015,0.006118997,0.0046199206,-99999.0,-99999.0,-99999.0,-99999.0,0.0062703704,1031.0,49.0,3.82,9.63
13,3.36,3.36,358.0,9.0,0.0054872944,0.0070216088,0.007847757,0.006540094,-99999.0,-99999.0,-99999.0,-99999.0,0.00925899,140.0,12.0,6.95,2.01
14,4.3,4.3,281.0,7.0,0.0065863896,0.006455499,0.005996046,0.004033611,-99999.0,-99999.0,-99999.0,-99999.0,0.0065146266,115.0,14.0,13.31,1.45
15,8.9,8.9,21.0,6.0,0.00611926,0.0075818696,0.010553225,0.007123373,-99999.0,-99999.0,-99999.0,-99999.0,0.008553024,26.0,18.0,8.57,5.67
16,11.7,11.7,302.0,8.0,0.008770989,0.012397898,0.020933572,0.017922264,-99999.0,-99999.0,-99999.0,-99999.0,0.011239328,326.0,62.3,15.36,38.07
17,9.6,9.6,186.0,5.0,0.006032974,0.00786495,0.013782202,0.0093819555,-99999.0,-99999.0,-99999.0,-99999.0,0.00939488,19.0,11.5,84.67,0.0
18,77.5,77.5,189.0,10.0,0.007848818,0.008114776,0.009683941,0.007960031,-99999.0,-99999.0,-99999.0,-99999.0,0.009322698,13.0,9.8,46.22,2.6
19,155.0,155.0,67.0,9.0,0.0096668685,0.010635035,0.014150864,0.010277268,-99999.0,-99999.0,-99999.0,-99999.0,0.00828544,109.0,4.0,89.22,0.0
